pais,seniority,salario_usd,ingles_avanzado,modalidad,industria,anios_exp,satisfaccion,skill_python,skill_sql,skill_power_bi,skill_tableau,skill_excel,skill_r,skill_dbt_airflow,skill_cloud_aws_gcp_azure,skill_inteligencia_artificial
EEUU,Senior,12400,True,Híbrido,Fintech,10.2,5.0,1,1,0,0,1,1,0,1,1
EEUU,Semi-Senior,7350,True,Híbrido,Fintech,2.9,3.0,1,1,0,1,1,0,0,0,1
Argentina,Senior,5050,True,Híbrido,E-commerce,12.8,2.3,1,1,1,1,0,0,1,1,1
Argentina,Junior,700,False,Híbrido,Tecnología/SaaS,2.0,3.2,1,1,0,1,1,0,0,1,0
Argentina,Junior,1300,True,Presencial,Fintech,2.4,3.8,1,1,0,0,1,0,0,0,1
Argentina,Semi-Senior,1250,False,Híbrido,Banca,4.7,4.1,0,0,1,0,1,1,0,1,1
EEUU,Junior,6150,True,Remoto 100%,Consulting,1.6,4.9,1,1,0,0,1,0,1,1,1
Argentina,Junior,850,True,Remoto 100%,Retail,2.2,3.3,1,0,1,1,1,0,1,0,0
Argentina,Semi-Senior,1900,False,Presencial,Telecomunicaciones,5.2,4.5,1,1,1,0,1,1,0,0,0
Argentina,Junior,1300,True,Remoto 100%,Manufactura,2.1,4.4,0,1,0,0,1,0,0,0,1
Argentina,Senior,5300,True,Remoto 100%,Banca,14.3,3.8,1,1,1,1,1,0,1,1,0
Argentina,Semi-Senior,3100,False,Remoto 100%,Manufactura,3.6,3.6,1,1,1,0,1,0,0,0,1
Argentina,Junior,1200,False,Remoto 100%,Salud,1.8,3.0,0,1,1,0,0,0,0,0,0
EEUU,Semi-Senior,9600,True,Híbrido,E-commerce,2.8,3.6,0,1,0,0,1,1,1,1,1
Argentina,Semi-Senior,1850,True,Presencial,Retail,2.6,4.3,0,1,1,1,1,0,0,0,0
EEUU,Semi-Senior,8900,True,Remoto 100%,Finance,4.5,4.2,1,1,0,0,0,1,1,1,1
EEUU,Semi-Senior,9800,True,Híbrido,Healthcare,4.4,3.1,1,1,1,1,0,0,1,0,1
EEUU,Semi-Senior,7850,True,Híbrido,Tech/SaaS,3.9,4.3,0,1,1,1,1,0,0,1,1
Argentina,Junior,1100,True,Remoto 100%,Retail,2.3,2.9,1,1,1,1,1,0,0,0,0
EEUU,Senior,13200,True,Remoto 100%,Fintech,6.9,3.7,1,1,0,1,0,1,0,1,1
EEUU,Senior,10850,True,Híbrido,Government,6.4,3.9,1,1,1,0,0,1,1,1,1
Argentina,Senior,4350,True,Híbrido,Retail,9.7,3.4,0,1,1,1,1,0,0,1,0
EEUU,Semi-Senior,8400,True,Remoto 100%,Government,5.1,4.4,1,1,0,1,1,1,0,1,0
EEUU,Semi-Senior,9850,True,Híbrido,Finance,3.2,3.6,1,1,1,1,1,0,1,1,1
EEUU,Senior,12100,True,Remoto 100%,Consulting,12.6,4.1,1,1,0,1,1,1,0,0,1
Argentina,Junior,1050,True,Híbrido,Telecomunicaciones,0.1,2.7,0,1,1,1,1,0,0,1,0
Argentina,Junior,1350,False,Remoto 100%,Retail,2.5,2.9,1,1,0,0,1,0,1,1,0
Argentina,Semi-Senior,2750,False,Híbrido,E-commerce,3.7,2.5,0,1,1,1,1,0,0,1,1
EEUU,Senior,14350,True,Remoto 100%,Retail,12.4,3.3,1,1,0,1,1,1,1,1,1
Argentina,Junior,750,False,Remoto 100%,Manufactura,0.9,4.8,0,1,0,1,1,0,0,0,1
Argentina,Junior,800,False,Híbrido,Gobierno,1.2,3.7,1,1,0,0,0,0,0,0,0
EEUU,Senior,13250,True,Híbrido,Tech/SaaS,7.6,2.6,1,1,1,0,0,1,1,0,1
EEUU,Semi-Senior,10400,True,Remoto 100%,Retail,5.2,3.7,1,1,1,1,1,1,1,1,1
EEUU,Semi-Senior,10000,True,Remoto 100%,Retail,4.5,4.5,1,1,1,1,1,0,0,1,1
EEUU,Junior,6150,False,Híbrido,Media,1.2,3.9,0,1,1,1,1,1,0,0,0
EEUU,Junior,5350,True,Remoto 100%,Fintech,2.4,4.4,0,1,1,0,1,0,1,0,0
Argentina,Senior,5700,True,Híbrido,Fintech,8.4,3.8,1,1,1,0,1,0,1,1,1
EEUU,Senior,14850,True,Remoto 100%,Consulting,8.0,4.0,1,1,1,1,1,0,0,1,1
Argentina,Junior,1100,False,Híbrido,Tecnología/SaaS,0.0,3.2,1,1,1,1,1,0,0,1,1
Argentina,Semi-Senior,2500,True,Remoto 100%,Fintech,4.2,4.0,1,1,1,1,1,0,0,1,0
Argentina,Senior,4800,True,Remoto 100%,Salud,7.8,3.9,1,1,1,1,1,0,0,1,1
Argentina,Semi-Senior,2600,True,Remoto 100%,Gobierno,5.4,4.7,1,1,1,1,1,0,0,1,0
EEUU,Senior,13500,True,Híbrido,Fintech,7.6,4.2,1,1,0,1,0,1,1,1,1
EEUU,Semi-Senior,9200,True,Híbrido,Government,6.0,2.2,1,1,1,1,1,0,1,1,1
EEUU,Semi-Senior,8650,True,Híbrido,Finance,4.5,3.8,1,0,0,0,0,1,0,1,1
Argentina,Junior,1000,False,Híbrido,Manufactura,1.4,3.4,0,0,1,0,1,1,0,0,0
Argentina,Senior,4400,False,Remoto 100%,Telecomunicaciones,10.3,3.9,1,1,1,1,0,0,0,1,0
Argentina,Semi-Senior,2200,True,Presencial,Consultoría,3.9,3.8,1,1,1,0,1,0,0,0,0
EEUU,Senior,13550,True,Remoto 100%,Tech/SaaS,13.2,4.1,1,1,1,1,1,1,1,1,1
Argentina,Junior,1250,True,Híbrido,Manufactura,2.3,4.2,1,1,1,0,1,0,0,1,0
Argentina,Junior,1150,False,Remoto 100%,E-commerce,1.5,3.6,1,0,1,1,1,1,0,0,0
EEUU,Senior,14800,True,Remoto 100%,Healthcare,6.4,3.6,1,1,0,0,1,0,0,1,1
Argentina,Semi-Senior,2100,False,Presencial,Banca,3.8,3.0,0,0,1,1,1,0,0,0,0
Argentina,Senior,3750,False,Híbrido,Consultoría,12.6,4.0,1,1,1,0,1,0,0,0,0
EEUU,Semi-Senior,8800,True,Híbrido,Finance,3.4,2.3,1,1,0,0,0,0,0,0,0
EEUU,Senior,11850,True,Remoto 100%,Government,7.2,3.0,1,1,1,1,1,1,1,1,0
Argentina,Senior,4200,False,Remoto 100%,Consultoría,11.6,3.1,1,1,1,0,1,1,1,0,1
EEUU,Semi-Senior,8150,True,Remoto 100%,Finance,3.5,3.8,0,1,0,1,1,0,0,1,1
Argentina,Senior,5050,True,Híbrido,Retail,11.4,3.7,1,1,1,0,1,0,0,0,1
Argentina,Junior,900,False,Remoto 100%,Consultoría,0.7,3.6,0,0,1,1,1,0,0,0,1
Argentina,Junior,1300,True,Presencial,Consultoría,0.7,3.6,0,1,1,0,1,1,0,0,1
Argentina,Junior,1400,True,Presencial,Banca,0.3,3.4,1,1,1,1,1,0,1,0,0
EEUU,Junior,5150,True,Remoto 100%,Retail,0.3,3.5,1,1,0,1,1,0,0,0,0
Argentina,Semi-Senior,2150,False,Híbrido,Retail,2.9,2.5,1,1,1,0,1,0,0,1,1
Argentina,Senior,4150,True,Remoto 100%,Banca,10.5,3.4,0,1,1,1,1,0,0,1,1
Argentina,Senior,5800,True,Híbrido,Tecnología/SaaS,6.4,3.2,1,1,1,1,1,0,0,1,0
Argentina,Semi-Senior,2500,True,Presencial,Manufactura,4.4,4.2,1,1,1,0,1,0,0,0,0
Argentina,Senior,4200,True,Híbrido,E-commerce,8.6,3.6,1,1,1,0,0,0,0,1,1
EEUU,Semi-Senior,8750,True,Híbrido,Fintech,5.5,4.2,1,1,0,1,1,0,0,1,1
Argentina,Junior,1000,False,Híbrido,E-commerce,0.6,5.0,0,1,0,0,1,0,0,0,1
Argentina,Junior,900,True,Remoto 100%,Retail,0.7,4.0,1,0,1,0,1,0,0,1,1
EEUU,Junior,5650,True,Presencial,Fintech,1.6,3.7,1,1,1,0,1,0,0,1,1
EEUU,Junior,5500,True,Híbrido,Finance,1.6,2.9,1,1,1,1,1,1,0,0,1
Argentina,Junior,1050,False,Remoto 100%,E-commerce,0.5,2.6,0,0,0,0,1,0,1,0,1
Argentina,Junior,700,False,Presencial,Gobierno,2.5,4.0,1,1,0,0,1,0,0,0,0
Argentina,Semi-Senior,2000,True,Híbrido,Salud,3.3,4.0,1,1,1,0,1,0,0,1,1
Argentina,Semi-Senior,1850,False,Remoto 100%,Gobierno,4.5,4.6,1,1,1,1,1,0,0,0,1
EEUU,Semi-Senior,7700,True,Híbrido,Fintech,4.2,3.1,1,1,0,1,1,0,0,0,1
EEUU,Junior,5350,True,Híbrido,Healthcare,1.0,3.8,1,1,0,0,0,0,0,0,1
EEUU,Semi-Senior,8400,True,Remoto 100%,Government,3.7,3.1,1,1,0,0,1,0,0,1,1
Argentina,Senior,4100,False,Remoto 100%,Telecomunicaciones,10.2,4.0,1,1,1,1,1,0,0,1,1
Argentina,Semi-Senior,2150,True,Híbrido,Telecomunicaciones,5.2,3.0,0,1,1,1,1,0,0,0,0
Argentina,Senior,4600,True,Presencial,Manufactura,14.4,2.8,1,1,1,1,1,1,0,0,0
EEUU,Junior,6300,True,Remoto 100%,Retail,0.3,5.0,1,1,1,0,1,0,1,1,1
EEUU,Junior,6400,True,Remoto 100%,Fintech,2.1,4.3,1,1,0,1,0,0,0,1,1
EEUU,Semi-Senior,8450,True,Híbrido,Government,5.0,4.1,1,1,0,0,0,1,0,1,0
EEUU,Semi-Senior,7650,True,Remoto 100%,Consulting,4.9,5.0,1,1,0,0,0,0,1,0,1
Argentina,Junior,900,False,Híbrido,Gobierno,0.6,2.9,1,1,0,1,1,0,0,0,1
Argentina,Senior,4500,True,Remoto 100%,Gobierno,7.3,3.6,1,1,1,0,1,1,1,1,1
EEUU,Senior,14500,True,Remoto 100%,E-commerce,8.2,5.0,1,1,0,0,1,1,1,0,1
EEUU,Senior,11050,True,Remoto 100%,Fintech,14.9,3.6,1,1,0,1,1,0,1,1,1
Argentina,Junior,850,False,Híbrido,Fintech,2.4,4.7,0,1,0,0,1,0,0,0,0
Argentina,Junior,1050,True,Híbrido,Telecomunicaciones,0.8,3.9,0,1,1,1,1,0,0,0,1
EEUU,Senior,13050,True,Remoto 100%,Finance,6.0,3.3,1,1,1,1,1,1,1,1,1
EEUU,Senior,9900,True,Remoto 100%,Consulting,10.5,3.5,0,1,0,0,0,1,1,1,1
EEUU,Semi-Senior,8900,True,Híbrido,Healthcare,4.2,3.8,1,1,0,1,1,0,0,0,1
Argentina,Senior,4700,True,Presencial,Tecnología/SaaS,9.6,3.6,1,1,1,0,1,0,0,1,1
Argentina,Junior,1000,True,Remoto 100%,Telecomunicaciones,2.4,3.6,1,1,1,0,1,0,0,0,0
Argentina,Semi-Senior,1950,False,Presencial,Manufactura,3.8,3.7,0,1,1,1,1,0,0,0,1
EEUU,Senior,8000,True,Remoto 100%,Healthcare,6.3,3.6,1,1,1,1,1,1,1,1,1
Argentina,Semi-Senior,3000,True,Remoto 100%,Banca,4.9,3.9,0,1,0,1,1,1,1,0,1
Argentina,Junior,850,False,Presencial,Gobierno,1.1,3.5,0,1,1,1,1,0,0,1,1
EEUU,Semi-Senior,8450,True,Híbrido,Media,2.5,2.7,1,1,1,0,1,0,0,0,1
EEUU,Semi-Senior,10100,True,Remoto 100%,Finance,4.9,4.6,0,1,1,1,1,0,0,0,1
EEUU,Senior,11050,True,Híbrido,Tech/SaaS,12.4,4.5,1,1,0,1,1,1,1,1,1
EEUU,Senior,12450,True,Remoto 100%,Fintech,8.3,3.1,1,1,1,1,1,1,0,1,1
Argentina,Junior,1050,False,Híbrido,E-commerce,1.5,3.7,1,1,1,1,1,0,0,0,0
Argentina,Senior,5500,True,Híbrido,Fintech,8.4,2.6,1,1,1,1,1,0,1,0,1
EEUU,Semi-Senior,8350,True,Presencial,E-commerce,2.8,4.0,0,1,1,1,0,1,0,0,1
